Marka,Model,Rok produkcji,Przebieg,Pojemnosc silnika,Moc,Rodzaj paliwa,Skrzynia biegow,Kolor,Cena
Volkswagen,Golf,1998,241000,1600,74,Benzyna,manualna,srebrny,5300
Mazda,CX-5,2017,119000,2200,150,Olej Napędowy,manualna,brązowy metalik,79800
Żuk,A07 osobowy,1987,35000,2120,70,Benzyna,manualna,czerwony,7400
Mazda,MPV,2002,220000,2000,136,Olej Napędowy,manualna,srebrny metalik,5900
Żuk,Fsc,1981,10000,24,42,Benzyna,manualna,czerwony,6500
Hyundai,ix20,2010,158000,1400,90,Benzyna,manualna,niebieski metalik,23700
Fiat,Stilo,2002,250000,1900,115,Olej Napędowy,manualna,zielony,5700
Škoda,Citigo,2016,111500,999,75,Benzyna,manualna,czerwony metalik,28000
Ford,Mondeo,2007,306000,2000,145,Autogaz,manualna,zielony metalik,18000
Opel,Meriva,2004,210000,1700,74,Olej Napędowy,manualna,srebrny metalik,2800
Mitsubishi,Colt,1998,227000,1300,75,Autogaz,manualna,żółty,2800
Fiat,Bravo,2009,179600,1596,105,Olej Napędowy,manualna,granatowy metalik,16200
Toyota,Yaris,2008,170,1,90,Olej Napędowy,manualna,grafitowy,18300
Jaguar,X-Type,2002,85000,2100,156,Benzyna,automatyczna,srebrny metalik,12800
Mercedes-Benz,Klasa C,2011,212000,2,170,Olej Napędowy,automatyczna,srebrny metalik,43600
Seat,Cordoba,2001,1,1900,180,Olej Napędowy,manualna,srebrny,3000
Hyundai,i40,2011,272000,1700,136,Olej Napędowy,manualna,srebrny metalik,32500
Mercedes-Benz,Klasa A,1999,190000,1600,102,Benzyna,automatyczna,srebrny,2600
Ssangyoung,Rexton II,2007,220,2700,160,Olej Napędowy,automatyczna,czarny,23500
Audi,A4,1999,360000,1900,110,Alternatywne,manualna,srebrny,8000
Ford,Mondeo,2001,298000,1998,90,Olej Napędowy,sekwencyjna,szary,3200
Renault,Scenic,2003,280000,1399,98,Benzyna,manualna,granatowy,6300
Peugeot,207,2007,131000,1400,75,Autogaz,manualna,zielony,11900
Suzuki,Grand Vitara,2004,285000,1997,109,Olej Napędowy,manualna,zielony,25300
Toyota,Corolla,2001,210400,1398,97,Benzyna,manualna,biały,7400
BMW,Seria 3,1994,355000,1800,140,Benzyna,manualna,czerwony,5000
Renault,Megane,2003,186656,1600,110,Benzyna,manualna,srebrny,4500
Opel,Astra,2005,250,1900,101,Olej Napędowy,manualna,srebrny metalik,8000
Ford,Galaxy,1998,300000,1900,130,Olej Napędowy,manualna,srebrny metalik,6000
Renault,Scenic,2003,241000,1598,113,Benzyna,manualna,srebrny,5500
Daewoo,Matiz,2001,141000,800,42,Benzyna,manualna,czerwony,1900
Audi,A4,2000,394000,1900,115,Olej Napędowy,manualna,srebrny metalik,4500
Volkswagen,Golf,2002,147000,1600,105,Benzyna,manualna,grafitowy,6500
Peugeot,407,2006,305029,1,1,Olej Napędowy,manualna,srebrny metalik,6
Renault,Megane,2017,87000,1600,114,Benzyna,manualna,złoty metalik,59900
Volkswagen,Golf,2008,315000,1900,105,Olej Napędowy,manualna,szary metalik,17500
Volkswagen,Golf,2008,199070,1595,102,Benzyna,manualna,niebieski metalik,25900
Opel,Astra,1998,270000,1600,75,Benzyna,manualna,czerwony,2600
Alfa Romeo,Mito,2009,200000,1248,90,Olej Napędowy,manualna,czarny metalik,7200
Audi,A6,2008,330000,2700,190,Olej Napędowy,automatyczna,czarny,18500
Seat,Leon,2003,256000,1896,150,Olej Napędowy,manualna,czarny metalik,16600
Audi,A6,2011,218000,2000,170,Benzyna,manualna,czarny,35500
Opel,Zafira,2001,200000,1598,101,Autogaz,manualna,srebrny metalik,3700
Audi,A3,2002,399000,1,150,Olej Napędowy,automatyczna,srebrny,5500
Peugeot,308,2009,87250,1600,120,Benzyna,manualna,srebrny metalik,20500
Škoda,Felicia,1999,196000,1289,50,Autogaz,manualna,czerwony,3000
BMW,Seria 3,2008,187000,1995,143,Benzyna,manualna,srebrny metalik,19900
Alfa Romeo,147,2008,171000,1600,100,Benzyna,manualna,czarny metalik,8500
Renault,Clio,1988,257000,1200,70,Autogaz,sekwencyjna,złoty,1999
Audi,A6,2006,28000,3,246,Olej Napędowy,automatyczna,czarny metalik,28000
Subaru,Outback,2006,277278,24,165,Autogaz,manualna,zielony metalik,21500
Hyundai,Santa Fe,2005,295000,2000,112,Olej Napędowy,manualna,srebrny metalik,12600
Volkswagen,Touran,2007,212000,2000,140,Olej Napędowy,manualna,czarny metalik,22900
Volkswagen,Touran,2009,270000,1,105,Olej Napędowy,manualna,czarny metalik,26000
Seat,Altea,2008,302000,1900,105,Olej Napędowy,manualna,grafitowy metalik,14000
Lada,2107,1988,97847,1300,45,Benzyna,manualna,czerwony,5500
Porsche,Cayenne,2014,229000,3000,245,Olej Napędowy,automatyczna,brązowy metalik,149900
Citroën,Xsara Picasso,2005,222247,1597,70,Autogaz,manualna,szary metalik,5500
Toyota,Avensis,2009,196572,1800,147,Benzyna,manualna,szary,28800
Ford,Mondeo,2002,217000,1998,136,Olej Napędowy,manualna,srebrny metalik,3500
Ford,Focus,2007,268000,1600,109,Olej Napędowy,manualna,srebrny metalik,9600
Peugeot,206,1998,238800,1,55,Benzyna,manualna,niebieski,2200
Alfa Romeo,Mito,2008,200800,1,155,Autogaz,manualna,biały metalik,18500
Citroën,C5,2011,170300,1560,112,Olej Napędowy,automatyczna,granatowy,21900
Peugeot,208,2017,62000,1200,82,Autogaz,manualna,czarny,37000
Renault,Laguna,2003,178000,2200,150,Olej Napędowy,manualna,srebrny metalik,999
Audi,A6,2003,325000,2500,180,Olej Napędowy,automatyczna,srebrny,15000
Volkswagen,Passat,2006,431500,2000,140,Olej Napędowy,manualna,srebrny metalik,10000
Fiat,500,2008,167000,1368,73,Benzyna,manualna,żółty,19000
Opel,Corsa,2009,202100,998,60,Benzyna,manualna,biały,10900
Citroën,C4,2005,182000,1587,109,Benzyna,manualna,złoty metalik,15200
Mercedes-Benz,Klasa C,2010,220,2200,143,Olej Napędowy,manualna,grafitowy metalik,38500
Toyota,Corolla Verso,2004,300000,2000,116,Olej Napędowy,manualna,grafitowy,9500
Fiat,Stilo,2002,270000,1900,80,Olej Napędowy,manualna,niebieski,4900
Toyota,Yaris,2009,140500,1000,68,Benzyna,manualna,czerwony metalik,18800
Opel,Movano,2002,378300,2200,120,Olej Napędowy,manualna,niebieski,8800
Kia,Sportage,2012,169000,1,116,Olej Napędowy,manualna,brązowy,45900
Audi,A4,2003,290000,2400,170,Benzyna,manualna,grafitowy metalik,4200
Volkswagen,Polo,2013,166,1197,90,Benzyna,manualna,czerwony metalik,26900
Citroën,C3,2009,145000,1396,73,Benzyna,manualna,srebrny metalik,16900
Audi,A4,2002,230000,1800,163,Benzyna,manualna,fioletowy,11500
Mazda,6,2003,243000,2,147,Olej Napędowy,manualna,złoty metalik,6500
Fiat,Punto,2003,200000,1399,80,Benzyna,manualna,srebrny metalik,7900
Jeep,Cherokee,2001,144000,4000,190,Benzyna,automatyczna,biały,23000
Audi,A3,2003,350000,1968,103,Olej Napędowy,manualna,niebieski,9000
BMW,Seria 3,2000,337,1895,118,Autogaz,manualna,czarny,5500
Audi,A3,1996,350,1600,102,Autogaz,manualna,wiśniowy metalik,6000
Volkswagen,Passat,2004,450000,1900,130,Olej Napędowy,manualna,granatowy,4600
Renault,Megane,2014,200000,1500,110,Olej Napędowy,manualna,szary,25500
Opel,Astra,2004,216000,1800,125,Benzyna,manualna,srebrny metalik,13000
Daewoo,Lanos,1999,207845,1500,100,Autogaz,manualna,fioletowy,5500
Alfa Romeo,159,2007,281989,1900,150,Olej Napędowy,manualna,czarny,17000
Škoda,Octavia,1997,251920,1598,75,Autogaz,manualna,bordowy,2900
Renault,Clio,2019,37650,900,90,Benzyna,manualna,biały,41900
Audi,A4,1999,309000,1781,150,Benzyna,manualna,srebrny metalik,8000
Volvo,V40,2003,235000,1948,200,Autogaz,automatyczna,grafitowy,10000
Opel,Corsa,1992,32612,1200,45,Benzyna,manualna,czerwony,15500
Volkswagen,Golf,2004,205000,1598,102,Benzyna,manualna,granatowy,10500
Fiat,Cinquecento,1998,109503,704,30,Benzyna,manualna,srebrny metalik,3650
Saab,9-3,2008,414000,2000,200,Autogaz,manualna,czarny,8500
Audi,A4,2003,310000,1900,130,Olej Napędowy,manualna,niebieski,14000
BMW,Seria 5,2005,259000,2500,192,Benzyna,manualna,czarny metalik,20900
Ford,Fiesta,2009,163000,1250,60,Benzyna,manualna,granatowy,8700
Audi,80,1994,394000,1900,90,Olej Napędowy,manualna,bordowy metalik,3300
Mazda,3,2016,118000,2000,165,Benzyna,automatyczna,srebrny,47000
Volkswagen,Golf,2017,159000,1600,115,Olej Napędowy,manualna,grafitowy,58000
Ford,Mondeo,2007,327000,2000,140,Olej Napędowy,automatyczna,niebieski metalik,16300
Suzuki,Vitara,1992,123,1600,1,Autogaz,manualna,grafitowy,3500
Volvo,V50,2008,280000,2000,136,Olej Napędowy,manualna,czarny metalik,15250
Toyota,Aygo,2006,120000,998,68,Benzyna,manualna,srebrny metalik,9000
Peugeot,3008,2011,173,1999,150,Olej Napędowy,manualna,szary metalik,33700
Audi,A4,2006,370,2000,170,Olej Napędowy,manualna,srebrny,19000
Dacia,Sandero,2020,7300,1000,102,Autogaz,manualna,granatowy,38000
Nissan,Qashqai+2,2012,130000,2000,150,Olej Napędowy,automatyczna,biały,42000
Citroën,C4 Grand Picasso,2010,164000,1600,116,Olej Napędowy,manualna,beżowy,21490
Peugeot,3008,2009,213000,1600,110,Olej Napędowy,automatyczna,czarny metalik,26500
Opel,Astra,2005,195494,1598,101,Benzyna,manualna,szary metalik,11900
Volkswagen,Golf Spotsvan,2017,155000,1600,116,Olej Napędowy,automatyczna,grafitowy metalik,56700
Volkswagen,CC,2016,106000,1995,211,Benzyna,automatyczna,niebieski metalik,64700
Dacia,Duster,2011,146000,1600,105,Benzyna,manualna,srebrny,28900
Audi,A3,1999,174000,1595,101,Benzyna,manualna,srebrny metalik,8600
Volvo,V50,2005,255000,2500,220,Benzyna,manualna,granatowy,18900
Mercedes-Benz,SLK,1999,231000,2000,144,Benzyna,manualna,srebrny metalik,10900
Citroën,C4 Grand Picasso,2007,268000,1997,140,Autogaz,automatyczna,niebieski metalik,13500
Toyota,Avensis,2009,240,2,126,Olej Napędowy,manualna,biały,21500
Alfa Romeo,159,2006,332000,1910,150,Olej Napędowy,manualna,beżowy metalik,9500
Renault,Megane,2014,83000,1200,116,Benzyna,manualna,grafitowy metalik,33990
Peugeot,206,2001,278000,1360,90,Autogaz,manualna,pomarańczowy metalik,4200
Hyundai,Tucson,2007,240000,2,140,Olej Napędowy,manualna,srebrny metalik,15000
Škoda,Octavia,2000,30000,1900,110,Olej Napędowy,manualna,bordowy metalik,5900
Opel,Vectra,2003,200000,2000,100,Olej Napędowy,manualna,srebrny metalik,3800
Ford,Galaxy,2000,289000,1,110,Olej Napędowy,manualna,czarny metalik,3000
Audi,A6,1997,256000,1,200,Benzyna,sekwencyjna,srebrny metalik,8500
Kia,Retona,1999,150000,1998,83,Olej Napędowy,manualna,zielony metalik,16000
Chevrolet,Captiva,2006,246000,2000,150,Olej Napędowy,manualna,srebrny metalik,18000
Suzuki,SX4,2012,159000,2000,136,Olej Napędowy,manualna,srebrny metalik,35000
Alfa Romeo,156,1998,378000,2400,136,Olej Napędowy,manualna,niebieski metalik,5500
Opel,Mokka,2013,189500,1686,130,Olej Napędowy,manualna,czarny,44444
Ford,Escort,1994,185000,1600,90,Benzyna,manualna,bordowy,400
BMW,Seria 1,2006,294000,2000,122,Olej Napędowy,manualna,czarny metalik,9500
Ford,Focus,2004,136700,1598,105,Benzyna,manualna,niebieski metalik,13500
Kia,Cee'd,2009,234750,1600,90,Olej Napędowy,manualna,srebrny metalik,16500
Audi,A4,2002,344000,1900,131,Olej Napędowy,manualna,grafitowy metalik,7800
BMW,Seria 3,2008,192000,1995,143,Benzyna,manualna,czarny metalik,14700
Volkswagen,Golf,1998,240000,1400,60,Benzyna,manualna,zielony metalik,3200
Renault,Twingo,2008,155000,1500,75,Olej Napędowy,manualna,biały,6900
Audi,A3,2000,250000,1800,170,Autogaz,manualna,granatowy,6000
Citroën,C3 Picasso,2012,224410,1600,90,Olej Napędowy,manualna,biały,14900
Audi,A6,2003,350000,1900,130,Olej Napędowy,manualna,granatowy metalik,9900
Audi,A6,2007,420000,3000,256,Olej Napędowy,automatyczna,czarny metalik,26500
BMW,Seria 3,2007,253200,2996,258,Benzyna,manualna,granatowy,28800
Renault,Megane,2013,91000,1500,110,Olej Napędowy,manualna,srebrny metalik,26800
Mercedes-Benz,Klasa B,2014,128000,1991,211,Benzyna,automatyczna,biały metalik,54900
Audi,A4,2004,163000,2000,131,Benzyna,manualna,srebrny,8500
Ford,Focus C-Max,2004,250000,1,125,Benzyna,manualna,srebrny metalik,9300
Opel,Vectra,2004,320000,2000,101,Olej Napędowy,manualna,szary,1
Škoda,Octavia,2008,295000,1900,105,Olej Napędowy,manualna,czarny,16800
Honda,FR-V,2006,303000,2204,140,Olej Napędowy,manualna,grafitowy metalik,13000
Honda,CR-V,2001,317000,1973,108,Autogaz,manualna,srebrny metalik,11500
Nissan,Qashqai,2010,154000,2000,140,Benzyna,manualna,grafitowy metalik,37900
Honda,Civic,2006,163000,1400,83,Benzyna,manualna,czerwony metalik,17000
Opel,Zafira,2005,280000,2000,110,Olej Napędowy,manualna,granatowy,5700
Toyota,Avensis,2004,320000,1997,147,Benzyna,manualna,srebrny metalik,11300
Audi,TT,2007,141000,2000,200,Benzyna,manualna,czerwony,36000
Suzuki,Swift,2014,186800,1300,100,Benzyna,manualna,srebrny,29000
Toyota,Verso,2010,200000,1998,126,Olej Napędowy,manualna,grafitowy metalik,22900
Nissan,Qashqai,2016,79000,1197,115,Benzyna,manualna,biały metalik,71900
Ford,Focus,2000,256009,1800,90,Olej Napędowy,manualna,zielony,2400
Toyota,Yaris,2002,223,1300,68,Benzyna,manualna,zielony metalik,3700
Volkswagen,Polo,2004,230000,1422,75,Olej Napędowy,manualna,srebrny,6200
Citroën,Xsara Picasso,2001,240000,1749,115,Autogaz,manualna,granatowy metalik,4500
Citroën,C4,2016,88000,1200,130,Benzyna,manualna,biały metalik,23900
Volkswagen,Passat,2000,339000,1900,110,Olej Napędowy,manualna,srebrny,3900
Audi,A3,2016,53000,1984,220,Benzyna,automatyczna,szary,68900
Audi,A4,2003,350000,1900,170,Olej Napędowy,manualna,czarny metalik,14500
Audi,A4,1997,335450,1860,110,Olej Napędowy,manualna,granatowy,4200
Seat,Ibiza,2008,183200,1198,69,Benzyna,manualna,czerwony metalik,13800
Mercedes-Benz,Klasa E,2003,390,2700,177,Olej Napędowy,automatyczna,czarny metalik,14900
Chrysler,300C,2006,120000,2987,218,Olej Napędowy,automatyczna,czarny metalik,32000
Renault,Scenic,2005,240000,1870,120,Olej Napędowy,manualna,granatowy metalik,8900
Toyota,Corolla,2003,285000,2000,116,Olej Napędowy,manualna,zielony metalik,6099
Opel,Astra,2012,236000,1700,110,Olej Napędowy,manualna,szary metalik,23000
Audi,A4,2004,296,1900,130,Olej Napędowy,automatyczna,czarny,14900
Lada,Niva,1994,190000,1700,80,Autogaz,manualna,niebieski,3000
Toyota,Avensis,2003,325000,1995,116,Olej Napędowy,manualna,grafitowy metalik,7200
Volkswagen,Golf,2014,162710,1600,105,Olej Napędowy,manualna,niebieski,38500
Mitsubishi,Galant,1997,297,2000,136,Autogaz,manualna,granatowy,5000
BMW,Seria 3,2012,236,1995,143,Olej Napędowy,manualna,czarny metalik,40900
BMW,Seria 5,1998,250000,2500,200,Autogaz,manualna,niebieski metalik,7500
Honda,Civic,1998,241700,1396,95,Benzyna,manualna,granatowy,3000
Peugeot,407,2006,187060,1,110,Olej Napędowy,manualna,szary metalik,6000
Volkswagen,Golf,2013,47000,1197,86,Benzyna,manualna,grafitowy,40800
Peugeot,407 Coupe,2008,170000,1989,136,Olej Napędowy,manualna,srebrny metalik,18500
Volkswagen,Golf,2013,166,1600,105,Olej Napędowy,manualna,granatowy,23000
BMW,Seria 3,1998,325000,1900,118,Autogaz,manualna,srebrny metalik,6900
Audi,A6,1997,304,1781,190,Benzyna,manualna,niebieski,10500
Chevrolet,Lacetti,2006,164,1796,121,Autogaz,manualna,srebrny,6000
Audi,A6,2011,247,2000,177,Olej Napędowy,automatyczna,zielony metalik,38000
Honda,Accord,2003,132000,1998,155,Benzyna,manualna,grafitowy,15900
Audi,TT,2015,151000,2000,184,Olej Napędowy,manualna,biały metalik,89900
Volkswagen,Passat,2001,323000,1900,101,Olej Napędowy,manualna,szary metalik,7500
Opel,Vectra,2005,275000,1900,150,Olej Napędowy,manualna,czarny,10900
Seat,Ibiza,2004,217000,1900,135,Olej Napędowy,manualna,niebieski,8600
Fiat,Grande Punto,2008,26300,1900,130,Olej Napędowy,manualna,biały,12100
Škoda,Octavia,2011,321000,1600,102,Autogaz,manualna,niebieski,16000
Alfa Romeo,156,2002,210000,2387,100,Olej Napędowy,manualna,niebieski,9500
Citroën,C4,2006,230500,1360,90,Benzyna,manualna,czarny,9800
BMW,Seria 3,2003,340000,1995,150,Olej Napędowy,manualna,czarny metalik,10900
Suzuki,Splash,2009,193000,1300,75,Olej Napędowy,manualna,niebieski,15500
Citroën,C5,2015,117000,1560,115,Olej Napędowy,automatyczna,czarny,39000
Volvo,V50,2006,270000,2000,136,Olej Napędowy,manualna,czarny metalik,13900
Toyota,Avensis Verso,2004,235000,2000,116,Olej Napędowy,manualna,czerwony,13000
Mitsubishi,Outlander,2010,156800,2000,150,Benzyna,manualna,czarny metalik,42500
BMW,Seria 5,2000,460,3000,193,Olej Napędowy,manualna,czarny,12000
Toyota,Auris,2011,187000,1800,100,Hybryda,automatyczna,biały metalik,32500
Suzuki,Swift,2010,160000,1300,94,Benzyna,manualna,szary,25800
BMW,X3,2005,271000,2000,150,Olej Napędowy,manualna,szary,20800
Volkswagen,Passat,2005,254000,1900,130,Olej Napędowy,manualna,srebrny,9400
Audi,A3,2005,225000,2000,140,Olej Napędowy,manualna,czarny,19900
Volkswagen,Tiguan,2009,227000,2000,140,Olej Napędowy,manualna,srebrny,35500
Toyota,Auris,2010,213000,1364,90,Olej Napędowy,manualna,srebrny metalik,22000
BMW,Seria 1,2006,256,2000,122,Olej Napędowy,manualna,brązowy metalik,14700
Toyota,Verso,2010,142370,1800,147,Benzyna,manualna,niebieski,36600
BMW,Seria 3,2000,356000,1900,118,Autogaz,manualna,zielony,4950
Ford,Fusion,2005,140000,1388,80,Benzyna,manualna,srebrny,5900
Mitsubishi,Pajero Pinin,2004,200000,2000,130,Benzyna,manualna,zielony,12000
Opel,Meriva,2013,177,1400,120,Benzyna,manualna,szary metalik,27700
Mitsubishi,Colt,2004,206000,1124,74,Benzyna,manualna,srebrny,6400
Ford,Mondeo,2017,38800,1500,160,Benzyna,manualna,srebrny metalik,72000
BMW,Seria 3,2000,302000,2979,231,Autogaz,manualna,czarny,24000
Aixam,A 741,2008,46000,400,5,Olej Napędowy,manualna,niebieski metalik,16600
Peugeot,306,2008,240000,1400,95,Autogaz,manualna,beżowy metalik,13000
Volkswagen,Tiguan,2010,98000,1400,150,Benzyna,manualna,biały,38000
Audi,S3,2003,274000,1800,225,Benzyna,manualna,szary,20000
Audi,A4,2006,296000,2000,140,Olej Napędowy,manualna,granatowy,14500
Volkswagen,Passat,1994,300000,1800,90,Benzyna,manualna,granatowy,1999
Mercedes-Benz,Klasa E,2001,265000,3200,221,Benzyna,automatyczna,srebrny metalik,3600
Land Rover,Freelander,2004,23000,2000,112,Olej Napędowy,manualna,szary,13500
Hyundai,i10,2015,100500,998,66,Benzyna,manualna,biały,29600
Škoda,Octavia,2011,300000,1998,170,Olej Napędowy,manualna,czarny metalik,37100
Audi,80,1993,254400,1,90,Olej Napędowy,manualna,zielony,2700
Kia,Cee'd,2015,92000,1396,100,Benzyna,manualna,beżowy metalik,44600
Ford,Mondeo,2003,280000,2000,130,Olej Napędowy,automatyczna,granatowy,2700
Mercedes-Benz,ML,2009,310000,2987,250,Olej Napędowy,automatyczna,srebrny,42000
Seat,Ibiza,2018,23000,1000,95,Benzyna,manualna,biały,56900
Opel,Astra,2007,82000,1700,125,Olej Napędowy,manualna,czarny,15500
Citroën,C3 Picasso,2010,191858,1,95,Autogaz,manualna,szary,19999
Citroën,C3,2005,128000,1,74,Benzyna,automatyczna,niebieski metalik,7300
Audi,A4,1998,240000,1600,100,Benzyna,manualna,grafitowy metalik,2200
Peugeot,307,2005,248000,1580,110,Olej Napędowy,manualna,granatowy,6000
Renault,Clio,2015,48000,1500,100,Olej Napędowy,manualna,czerwony,35800
Dodge,Caliber,2007,215000,2,140,Olej Napędowy,manualna,czarny,9700
Fiat,Freemont,2013,149500,1956,140,Olej Napędowy,manualna,bordowy metalik,46800
Toyota,Yaris,2006,160000,1400,90,Olej Napędowy,manualna,czarny metalik,123
Fiat,Seicento,2004,112250,1108,54,Benzyna,manualna,bordowy,3500
Volkswagen,Golf,2011,154000,1400,120,Benzyna,manualna,szary,16800
Seat,Altea,2011,97000,1400,125,Benzyna,manualna,złoty metalik,26500
Renault,Megane,2015,205000,1600,110,Autogaz,manualna,czarny metalik,35500
Opel,Astra,2012,144580,1700,125,Olej Napędowy,manualna,granatowy metalik,25699
Seat,Ibiza,2018,23900,999,95,Benzyna,manualna,biały metalik,53450
Toyota,Corolla Verso,2003,303,1995,90,Olej Napędowy,manualna,srebrny metalik,6900
Audi,Q5,2015,144444,2,190,Olej Napędowy,automatyczna,biały,139000
Opel,Zafira,2013,140000,1800,150,Autogaz,manualna,czarny metalik,28500
Opel,Corsa,2004,171500,1200,75,Benzyna,manualna,czerwony,6500
Seat,Ibiza,2010,195000,16,1,Olej Napędowy,manualna,biały,1
Daihatsu,Cuore,2003,170000,1000,65,Benzyna,manualna,srebrny metalik,3200
Mitsubishi,ASX,2016,82000,2268,150,Olej Napędowy,automatyczna,czarny metalik,79800
Toyota,RAV4,2005,203000,1998,116,Olej Napędowy,manualna,szary metalik,22900
Opel,Astra,2009,295000,1700,125,Olej Napędowy,manualna,srebrny metalik,20000
Toyota,RAV4,2003,221035,2,113,Olej Napędowy,manualna,niebieski metalik,15500
Fiat,Bravo,2009,310000,1600,120,Olej Napędowy,manualna,szary,9800
Volkswagen,Passat,1999,400000,1,120,Olej Napędowy,manualna,granatowy metalik,3800
Volkswagen,Golf,2000,300000,1900,115,Olej Napędowy,manualna,czarny metalik,5400
Mercedes-Benz,Klasa B,2009,219000,1991,110,Olej Napędowy,manualna,szary,24000
Volkswagen,Polo,2003,197000,1200,70,Benzyna,manualna,granatowy,5500
Rover,75,2003,266,2,131,Olej Napędowy,manualna,zielony,6500
Peugeot,307,2003,375,2,79,Olej Napędowy,manualna,srebrny,3000
BMW,Seria 3,2005,210000,2000,129,Autogaz,manualna,niebieski metalik,21900
Citroën,Berlingo,2012,230000,1,115,Olej Napędowy,manualna,beżowy metalik,27000
Hyundai,i30,2018,134000,1396,100,Benzyna,manualna,biały metalik,43900
Fiat,Punto,2006,140000,1242,65,Benzyna,manualna,srebrny metalik,7200
Toyota,Avensis,2008,391892,2200,176,Olej Napędowy,manualna,srebrny metalik,6000
Chevrolet,Trax,2013,165,1364,140,Autogaz,manualna,biały metalik,40900
Peugeot,407,2004,267988,2000,135,Benzyna,manualna,bordowy,3300
Alfa Romeo,147,2003,347000,1910,120,Olej Napędowy,manualna,srebrny,2700
Škoda,Rapid,2017,88000,1200,110,Benzyna,manualna,biały,43900
Lexus,Gs,2000,335000,3000,224,Autogaz,automatyczna,beżowy metalik,27500
Fiat,Punto,2000,169,1242,80,Benzyna,manualna,czerwony,5000
Daewoo,Lanos,1998,183000,1498,82,Autogaz,manualna,zielony metalik,3000
Škoda,Octavia,2007,345000,1,107,Olej Napędowy,manualna,czarny metalik,10600
Nissan,Qashqai,2007,150999,1500,87,Olej Napędowy,manualna,brązowy metalik,21000
Citroën,Xsara Picasso,2000,227000,1800,116,Autogaz,manualna,srebrny,4000
Peugeot,208,2012,72768,1398,68,Olej Napędowy,manualna,niebieski metalik,26800
Opel,Mokka,2017,71000,1364,140,Benzyna,automatyczna,srebrny,61000
Renault,Clio,1999,220,1200,65,Benzyna,manualna,srebrny metalik,2600
Volkswagen,Passat,1996,313800,1900,110,Olej Napędowy,automatyczna,niebieski,4750
Ford,S-Max,2007,260000,1750,125,Olej Napędowy,manualna,granatowy,18500
Honda,CR-V,1997,147000,2000,110,Autogaz,manualna,granatowy,7500
Fiat,Cinquecento,1997,86500,704,30,Benzyna,manualna,zielony,2700
Citroën,C3,2007,195000,1360,68,Benzyna,manualna,niebieski metalik,9600
Ford,EcoSport,2018,63000,2000,166,Benzyna,automatyczna,srebrny,59900
Toyota,Auris,2008,232,1598,125,Benzyna,manualna,grafitowy metalik,21000
Peugeot,308,2010,153,1600,130,Autogaz,manualna,srebrny metalik,17000
BMW,Seria 3,2008,199900,2000,170,Benzyna,manualna,szary metalik,29900
Kia,Sportage,1999,150,1998,100,Olej Napędowy,manualna,granatowy,9000
Audi,A3,2005,17000,2000,150,Benzyna,manualna,grafitowy metalik,20900
Opel,Astra,2006,243000,1900,150,Olej Napędowy,manualna,beżowy metalik,10599
Audi,A3,2003,250000,1984,150,Benzyna,manualna,szary,7500
Honda,Accord,2005,275000,2200,140,Olej Napędowy,manualna,beżowy metalik,15000
Opel,Astra,2016,186000,1600,110,Olej Napędowy,manualna,srebrny,31000
Audi,A3,2009,179000,1390,125,Benzyna,manualna,czarny metalik,23900
Audi,A4,2001,280000,1900,130,Olej Napędowy,manualna,niebieski metalik,7950
Ford,Mondeo,2006,320,2000,130,Olej Napędowy,manualna,granatowy metalik,5400
Seat,Toledo,2001,250000,1900,150,Olej Napędowy,manualna,srebrny,6200
Peugeot,206,2003,150000,1400,75,Benzyna,manualna,czarny metalik,8800
Renault,Espace,2008,150000,1995,150,Olej Napędowy,manualna,srebrny metalik,18500
Fiat,Stilo,2006,245000,1890,120,Olej Napędowy,manualna,grafitowy metalik,8500
Audi,A4,2013,300000,2000,177,Olej Napędowy,manualna,złoty metalik,45000
Peugeot,107,2007,196223,1000,67,Benzyna,manualna,czerwony,2999
Kia,Picanto,2004,85000,1100,65,Benzyna,manualna,złoty,2900
Suzuki,Grand Vitara,2003,240000,2000,128,Benzyna,manualna,czarny,15000
Audi,A4,2011,190000,1968,143,Olej Napędowy,manualna,czarny,35000
Toyota,RAV4,2003,188629,2000,116,Olej Napędowy,manualna,srebrny,25000
Subaru,Legacy,2008,228000,1998,150,Olej Napędowy,manualna,srebrny,13500
Toyota,Avensis,2002,163290,1800,129,Benzyna,manualna,srebrny,3450
Honda,CR-V,2009,209000,2,150,Olej Napędowy,manualna,srebrny metalik,36800
Smart,Forfour,2004,152000,1500,95,Olej Napędowy,manualna,szary,6000
Toyota,Aygo,2007,131000,998,68,Benzyna,manualna,niebieski metalik,7500
BMW,Seria 3,1992,127000,2500,85,Olej Napędowy,automatyczna,srebrny metalik,11500
Seat,Altea,2007,290000,1896,105,Olej Napędowy,manualna,srebrny metalik,19000
Ford,Focus,2006,267000,1,116,Olej Napędowy,manualna,grafitowy,4500
Volkswagen,Sharan,2002,264000,1896,116,Olej Napędowy,manualna,czerwony metalik,9200
Opel,Signum,2003,330000,1999,100,Olej Napędowy,manualna,srebrny,5500
Suzuki,Jimny,2007,230000,1300,86,Autogaz,manualna,zielony metalik,23900
Opel,Vectra,2006,180000,1900,150,Olej Napędowy,manualna,złoty metalik,13200
Nissan,Note,2013,138000,1198,80,Benzyna,manualna,bordowy metalik,29900
Opel,Mokka,2014,138000,1686,130,Olej Napędowy,manualna,czerwony,46800
