Marka,Model,Rok produkcji,Przebieg,Pojemnosc silnika,Moc,Rodzaj paliwa,Skrzynia biegow,Kolor,Cena
BMW,Seria 5,2015,213000,2000,218,Olej Napędowy,automatyczna,szary metalik,81200
Citroën,C3,2010,136000,1124,60,Benzyna,manualna,czarny metalik,13400
Smart,Forfour,2006,161000,1300,95,Benzyna,manualna,czarny metalik,9900
Volkswagen,Passat Cc,2010,162000,2000,140,Olej Napędowy,manualna,biały metalik,42900
Dacia,Lodgy,2012,141144,1461,107,Olej Napędowy,manualna,szary metalik,32900
Daihatsu,Terios,2002,140000,1242,86,Benzyna,manualna,bordowy,12900
Toyota,Yaris,2016,52000,998,69,Benzyna,manualna,biały,32900
Fiat,500,2012,135903,1242,69,Benzyna,manualna,czerwony metalik,23500
Volkswagen,Polo,2012,120000,1400,86,Benzyna,manualna,czarny metalik,33500
Opel,Insignia,2009,161000,2000,220,Benzyna,manualna,biały metalik,31900
Opel,Mokka,2016,76677,1364,140,Benzyna,automatyczna,niebieski metalik,65900
Citroën,C3,2010,85000,1397,95,Benzyna,manualna,czarny metalik,23800
Renault,Grand Scenic,2010,153000,1397,130,Benzyna,manualna,szary metalik,23800
Dacia,Sandero,2015,91000,898,90,Benzyna,manualna,czarny metalik,30900
BMW,Seria 1,2006,154696,1596,116,Benzyna,manualna,brązowy metalik,18000
Dacia,Sandero,2015,27984,1149,73,Benzyna,manualna,niebieski metalik,25900
Ford,Focus,2011,256000,1560,95,Olej Napędowy,manualna,czarny metalik,25900
Lancia,Ypsilon,2012,145483,1242,69,Benzyna,manualna,czarny metalik,23900
Jeep,Cherokee,1996,335000,4000,170,Autogaz,automatyczna,zielony,14000
Mercedes-Benz,Klasa A,2000,220000,1400,82,Benzyna,manualna,srebrny metalik,4555
Škoda,Octavia,2003,242863,1390,75,Autogaz,manualna,niebieski metalik,7900
Renault,Megane,2009,212,1500,78,Olej Napędowy,manualna,brązowy metalik,16000
Ford,Fiesta,2002,233100,1399,68,Olej Napędowy,manualna,srebrny,5300
Opel,Astra,2011,191000,1400,140,Benzyna,manualna,beżowy metalik,30900
Fiat,Punto,1998,152000,1100,1,Benzyna,manualna,szary metalik,3200
Hyundai,Elantra,2012,169000,1600,132,Benzyna,manualna,czarny metalik,36500
Toyota,Corolla Verso,2005,207,2200,136,Olej Napędowy,manualna,srebrny metalik,10800
Opel,Corsa,2014,98000,1200,86,Autogaz,manualna,szary metalik,31000
Renault,Laguna,2007,230000,1500,110,Olej Napędowy,manualna,bordowy metalik,16500
Renault,Megane,2015,199000,1200,115,Benzyna,manualna,szary metalik,32500
Nissan,Qashqai,2016,192000,1500,110,Olej Napędowy,manualna,biały metalik,65500
BMW,X5,2009,268000,3000,211,Olej Napędowy,automatyczna,szary metalik,50900
Toyota,Land Cruiser,2005,382000,3000,166,Olej Napędowy,automatyczna,srebrny metalik,55500
Ford,Mondeo,2001,408,2000,150,Autogaz,manualna,granatowy,3800
Renault,Clio,2011,202000,1200,75,Autogaz,manualna,czerwony metalik,17500
Audi,S8,2001,343000,4200,360,Benzyna,automatyczna,srebrny metalik,32500
Mazda,2,2015,92000,1500,90,Benzyna,manualna,biały metalik,42500
Honda,CR-V,2002,250000,1999,149,Autogaz,manualna,czarny metalik,9500
Lexus,Ls,2010,128000,4600,367,Benzyna,automatyczna,czarny metalik,98400
Škoda,Octavia,2006,177806,2000,140,Olej Napędowy,manualna,czarny,4500
Mercedes-Benz,GLK,2009,245000,3000,224,Olej Napędowy,automatyczna,czarny metalik,55500
Honda,FR-V,2005,260000,1700,115,Autogaz,manualna,niebieski,14500
Dacia,Duster,2018,151000,1500,90,Olej Napędowy,manualna,biały,53500
Audi,A4,2014,228000,2000,177,Olej Napędowy,automatyczna,szary metalik,54500
Renault,Kangoo,2007,260000,1600,95,Benzyna,manualna,niebieski metalik,12900
Nissan,Note,2006,191000,1600,110,Benzyna,manualna,czarny metalik,15000
Renault,Scenic,2005,247000,1900,120,Olej Napędowy,manualna,niebieski metalik,10500
Suzuki,Grand Vitara,2007,134,1,136,Olej Napędowy,manualna,srebrny metalik,20500
Renault,Trafic,2016,290000,1600,125,Olej Napędowy,manualna,srebrny metalik,79500
Citroën,C5,2000,238000,2000,136,Olej Napędowy,manualna,szary metalik,22500
Opel,Astra,2000,208000,1600,110,Benzyna,manualna,srebrny,6500
Mercedes-Benz,ML,2007,267000,3000,224,Olej Napędowy,automatyczna,beżowy metalik,45500
BMW,Seria 3,2013,272000,2000,184,Olej Napędowy,manualna,biały metalik,45500
Škoda,Octavia,2007,293478,1600,1,Benzyna,manualna,srebrny metalik,22500
Jeep,Compass,2007,205000,2000,140,Olej Napędowy,manualna,czarny,23000
Volkswagen,Tiguan,2013,159000,1400,122,Benzyna,manualna,brązowy metalik,55700
Audi,A4,2006,273000,1968,140,Olej Napędowy,manualna,grafitowy metalik,19900
Citroën,Xsara Picasso,2004,230849,1600,109,Olej Napędowy,manualna,szary,5300
Ford,Mondeo,2001,362699,2000,145,Benzyna,automatyczna,czerwony,2700
Volkswagen,Polo,2013,153000,1200,90,Benzyna,manualna,niebieski metalik,27000
Opel,Astra,2009,190000,1400,90,Benzyna,manualna,niebieski metalik,12500
Suzuki,Grand Vitara,2006,182000,2000,143,Benzyna,manualna,szary metalik,25500
Renault,Espace,2005,25700,2200,150,Olej Napędowy,manualna,granatowy metalik,14900
Volkswagen,Transporter,2005,267000,2500,170,Olej Napędowy,manualna,srebrny metalik,30000
Seat,Leon,2007,286000,2000,205,Olej Napędowy,manualna,czarny metalik,18000
Mercedes-Benz,Viano,2006,286000,2200,150,Olej Napędowy,automatyczna,srebrny metalik,39000
Ford,Focus,2007,192000,1800,125,Benzyna,manualna,czarny metalik,13900
Peugeot,508,2013,316000,1997,163,Olej Napędowy,automatyczna,czarny metalik,33000
Tata,Indica,2010,74600,1400,85,Benzyna,manualna,srebrny metalik,7500
Opel,Corsa,2008,200000,1600,150,Benzyna,manualna,czarny metalik,20500
Volkswagen,Golf Plus,2007,140000,1600,105,Benzyna,automatyczna,czerwony,21000
Mini,ONE,2003,162000,1600,90,Benzyna,manualna,brązowy metalik,13500
Toyota,Auris,2011,137000,1600,132,Benzyna,manualna,niebieski metalik,33500
Honda,Accord,2006,277000,2000,155,Benzyna,manualna,szary metalik,23400
Mercedes-Benz,Klasa A,1999,161000,1600,102,Benzyna,manualna,bordowy metalik,5700
Renault,Espace,2018,43000,1800,225,Benzyna,automatyczna,szary metalik,125000
Citroën,C5,2010,241000,1997,140,Olej Napędowy,manualna,czarny metalik,22000
Alfa Romeo,147,2008,171000,1600,100,Benzyna,manualna,czarny metalik,7900
Seat,Leon,2001,278000,1900,110,Olej Napędowy,manualna,czerwony metalik,9900
Volkswagen,Golf,2004,177000,1600,115,Benzyna,manualna,czerwony,16900
Kia,Rio,2016,81000,1200,90,Autogaz,manualna,biały,37500
Mercedes-Benz,Klasa E,2000,192000,2400,170,Benzyna,automatyczna,czarny metalik,12000
Opel,Insignia,2011,252000,2000,125,Olej Napędowy,automatyczna,szary metalik,25000
Subaru,Forester,2011,242000,2000,140,Olej Napędowy,manualna,czarny metalik,29000
Volkswagen,Golf,2002,213000,1400,75,Benzyna,manualna,czarny,5000
Renault,Captur,2014,81000,1500,90,Olej Napędowy,manualna,szary metalik,44900
Ford,Fiesta,2004,169000,1200,75,Benzyna,manualna,srebrny,5900
Peugeot,301,2018,7100,1600,100,Olej Napędowy,manualna,grafitowy metalik,39000
BMW,X1,2010,222000,1995,177,Olej Napędowy,manualna,czarny metalik,41900
Volkswagen,Golf,1999,272500,1900,90,Olej Napędowy,manualna,czarny metalik,3900
Opel,Zafira,2008,232000,1686,110,Olej Napędowy,manualna,srebrny metalik,15900
Volvo,V40,2000,363000,2000,200,Autogaz,manualna,niebieski,6500
Audi,A4,2011,251000,1968,143,Olej Napędowy,automatyczna,czarny metalik,37900
Fiat,Tipo,2017,235000,1600,120,Olej Napędowy,manualna,biały metalik,37900
Citroën,C4 Picasso,2011,161000,1560,112,Olej Napędowy,manualna,czarny metalik,26900
Toyota,Verso,2012,142000,1998,126,Olej Napędowy,manualna,srebrny metalik,41900
Mercedes-Benz,Citan,2012,130000,1500,90,Olej Napędowy,manualna,grafitowy,41900
Hyundai,Santa Fe,2004,209736,1991,125,Olej Napędowy,manualna,srebrny metalik,14999
Mercedes-Benz,Klasa A,2005,121,1500,95,Benzyna,manualna,szary metalik,12200
Seat,Ibiza,2008,183896,1200,75,Benzyna,manualna,bordowy metalik,11900
Suzuki,SX4,2006,150896,1500,120,Benzyna,manualna,czarny metalik,21500
Seat,Ibiza,2009,1500896,1400,85,Benzyna,manualna,czerwony metalik,19600
Honda,Jazz,2008,170000,1200,90,Benzyna,manualna,srebrny,21900
Toyota,Yaris,2007,170000,1000,68,Benzyna,manualna,srebrny,16900
Mini,ONE,2003,210000,1400,75,Olej Napędowy,manualna,biały,12900
Opel,Antara,2008,180000,2000,150,Olej Napędowy,manualna,srebrny,24900
Citroën,C3,2015,190000,1400,75,Olej Napędowy,manualna,biały,14900
Peugeot,207,2010,190000,1400,90,Olej Napędowy,manualna,czarny,13900
Volvo,V50,2010,270000,2000,140,Olej Napędowy,manualna,biały,21900
Fiat,Qubo,2010,220000,1300,85,Olej Napędowy,manualna,niebieski,19900
Ford,Kuga,2014,168000,1598,150,Benzyna,manualna,szary metalik,52900
Citroën,Berlingo,2012,210000,1600,75,Olej Napędowy,manualna,czerwony,24900
Alfa Romeo,159,2008,200000,1900,150,Olej Napędowy,manualna,srebrny,18900
Mercedes-Benz,CLK,2005,278000,1800,163,Benzyna,manualna,czarny metalik,21900
Volkswagen,Golf,2009,180000,1400,80,Benzyna,manualna,czerwony,24500
Alfa Romeo,159,2007,170000,1900,150,Olej Napędowy,manualna,srebrny,14900
Peugeot,RCZ,2010,74000,1600,156,Benzyna,manualna,czarny metalik,34900
Fiat,Sedici,2008,230000,1900,120,Olej Napędowy,manualna,szary,18900
Volkswagen,Golf,2009,262000,1900,105,Olej Napędowy,manualna,czerwony,15999
Opel,Astra,2001,1800,1800,115,Benzyna,manualna,srebrny,8600
